Id,Name,Discription,Weapon Type,Wepon subtype,Country,Manufactor,Ammo Type,Year of Creation,Years of Service,Weapon Service,Legal Status,Image Link,Sources
1,Albini-Braendlin rifle,"Single Shot, 11mm rifle. The weapon itself was designed by an Italian Neval Officer called Augusto Albini and was manufactored and perfected by a English gunsmith named,  Francis Braendlin. The weapon had extractor issues that made it eventually replaced by the M1870 Belgian Comblain in the begaining of the 1870's.",Firearm,Rifle,Belgum,Manufacture d’Armes de L’État,11x42mmR,1867,1867–1918,Temporary Service Rifle,Military Rifle,https://s3-ap-southeast-2.amazonaws.com/awm-media/collection/REL/19095/screen/3830731.JPG,https://en.wikipedia.org/wiki/Albini-Braendlin_rifle
2,Atchisson AA-12,"An iconic shotgun known to be one the first if not the first fully automatic 12 gauge shotgun. The weapon became popular by 2 very famous games, Call of Duty Modern Warfare 2 and Call of Duty Modern Warfare 3.",Firearm,Shotgun,United States,Max Atchisson,12 Gauge,1972,2005-2019,Combat shotgun,Civilien and Military Use,https://upload.wikimedia.org/wikipedia/commons/7/75/AA-12.jpg,https://en.wikipedia.org/wiki/Atchisson_AA-12#cite_note-1
3,AG-043,"A Soviet rifle representing Simonov's adaptation of the AK-47,  inspired by the US XM177 carbine used in Vietnam. Manufactured  in 1975 under Soviet weapons development. Very limited information  available; most historical records are in Russian.A Soviet rifle representing Simonov's adaptation of the AK-47,  inspired by the US XM177 carbine used in Vietnam. Manufactured in 1975 under Soviet weapons development. Very limited information  available; most historical records are in Russian.",Firearm,Rifle,Soviet Union,National Factory - USSR,5.45x39mm,1975,Unkown,Assault Rifle,Experimental/Prototype,https://upload.wikimedia.org/wikipedia/commons/e/ec/AG-043_assault_rifle.jpg,https://tvd.im/small-arms/5273-simonov-ag043.html
4,AEK-971,"The AEK-971 was created during ""Project Abakan."" It was inspired  heavily by the Kalashnikov Assault Rifles but featured an additional system called the Balanced Automatic Recoil System (BARS) which reduces recoil. Adopted by Soviet/Russian forces.",Firearm,Rifle,Soviet Union,Degtyarev plant,5.45×39mm,1978,1980–present,Assault Rifle,Military Rifle,https://static.wikia.nocookie.net/guns/images/a/ab/AEK-971.jpg/revision/latest/scale-to-width-down/1000?cb=20160903113337,https://guns.fandom.com/wiki/AEK-971#Construction
5,AK-9,"A modernized version of the AK-47. Instead of the having the heavy weight of the AK-47 has, the AK-9 was created with lightweight plastic and also utilizing subsonic rounds. making this weapon a suppressed weapon.",Firearm,Rifle,Russia,Izhmash (Kalashnikov) - Russia,9x39mm Subsonic,Early 2000's,2007-present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/AK-9_Assault_rifle.jpg/1920px-AK-9_Assault_rifle.jpg,https://tvd.im/small-arms/5222-izhmash-ak9.html
6,AK-12,A weapon that was very popular for being one of the newist guns coming from Kalashikov Concern. The AK-12 was originally made to participate in the Ratnik Trials. These Trials are done to see which guns are going to be used in the Russian Military.,Firearm,Rifle,Russia,Izhmash (now Kalashnikov Concern),5.45×39mm,2018,2018-present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/AK-12.png/1920px-AK-12.png,https://en.wikipedia.org/wiki/AK-12#Variants
7,AK-47,"The AK-47 was designed by Mikhail Kalashnikov in 1947-1948, shortly after World War II. The design was heavily inspired by the German STG-44. It became one of the most widely produced and distributed assault rifles in history, manufactured by the Soviet Union and numerous countries including Norinco.",Firearm,Rifle,Soviet Union,Kalashnikov Concern and various others including Norinco,7.62×39mm,1948,1949–present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/AK-47_type_II_noBG.png/1920px-AK-47_type_II_noBG.png,https://en.wikipedia.org/wiki/AK-47
8,AK-74,"The AK-74 was designed by Mikhail Kalashnikov as the successor to the AKM. It introduced the new 5.45×39mm cartridge, which offered improved ballistics and reduced recoil compared to the 7.62×39mm. The AK-74 first saw combat in 1979 during the Soviet-Afghan War and became the standard rifle for Soviet and Russian forces.",Firearm,Rifle,Soviet Union,"Kalashnikov Concern
(formerly Izhmash)",5.45×39mm,1974,1979-present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/2/20/Ak74l.png,https://en.wikipedia.org/wiki/AK-74#Variants
9,AKM,"The AKM is an improved and modernized version of the AK-47, designed in 1959. It featured simplified manufacturing, improved reliability, and maintained the same 7.62×39mm caliber. While the Soviet Union replaced it with the AK-74 in the 1970s, the AKM remains in use by many countries worldwide.",Firearm,Rifle,Soviet Union,Izhmash,7.62×39mm,1959,1959-present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/AKM_automatkarbin_Ryssland_-_7%2C62x39mm_-_Arm%C3%A9museum_bothsides_noBG.png/960px-AKM_automatkarbin_Ryssland_-_7%2C62x39mm_-_Arm%C3%A9museum_bothsides_noBG.png,https://en.wikipedia.org/wiki/AKM
10,AK-101,"The AK-101 is part of the AK-100 family of rifles, which were designed specifically for export rather than domestic Russian use. To increase compatibility with NATO allies and international markets, the AK-101 is chambered in 5.56×45mm NATO rather than the standard Russian 7.62×39mm caliber.",Firearm,Rifle,Russia,Kalashnikov Concern,5.56×45mm NATO,1995,1995-present,Assault Rifle,Military Rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/%D0%90%D0%9A-101.jpg/960px-%D0%90%D0%9A-101.jpg,https://en.wikipedia.org/wiki/AK-101
11,Anilite bomb,"The Anilite bomb (Gros Andreau) consisted of two separate compartments: one filled with gaseous Nitrogen Dioxide (NO2) and another with gasoline or hydrocarbon fuel in 80% NO2 to 20% fuel proportions. Upon impact, the two components mixed and detonated. This design allowed for relatively safe handling during transport and rough aircraft flights with low risk of premature detonation. However, the fragile casing provided limited penetration on impact, and toxicity from NO2 leakage posed health risks to crews.",Explosive,Bomb,France,Unknown,"120mm, 155mm, 200mm",1916,1916-1918,Aerial bomb,Military Explosive,No Image can be found,https://en.wikipedia.org/wiki/Anilite_bomb
12,PP Mi-D mine,"The PP Mi-D mine is a Czechoslovak copy of the Soviet PMD series anti-personnel mine. It operates as a pressure-activated anti-personnel mine filled with TNT, with a trip wire for additional activation methods. The mine was produced and deployed by Czechoslovakia from 1961 until removal from service in 2002.",Explosive,Landmine,Czechoslovakia,Unknown,TNT,1961,1961-2002,Anti-personnel mine,Military Explosive,https://oldarmsofidaho.com/wp-content/uploads/2022/08/Czechoslovakian-Bakelite-PP-Mi-D-Mine-scaled.jpg,https://en.wikipedia.org/wiki/PP_Mi-D_mine
13,PMD Series,"The PMD Series consists of three variants: PMD-6, PMD-7, and PMD-57. Limited individual documentation exists for each variant; they are grouped here due to scarce separate historical records. 
These pressure-activated anti-personnel mines were filled with TNT and designed to detonate when stepped on. Early variants used wood and metal fragments for shrapnel; later versions incorporated plastic. The PMD Series was widely used by the Soviet Union and Soviet-aligned nations from the Winter Warthrough the First Congo War.",Explosive,Landmine,Soviet Union,Unknown,TNT,1939,1939-1997,Anti-personnel mine,Military Explosive,https://static.sappers.org/picture/image-1-1-CuiWZocc-zD5PaBIf.webp,https://en.wikipedia.org/wiki/PMD_series_mines
14,M14 mine,"The M14 anti-personnel mine, nicknamed the ""Toe Popper,"" was developed by the United States in 1955. It featured minimal metal content, making it difficult for metal detectors to locate. The M14 was widely deployed until withdrawal from active service in 1974. However, the US military maintains a strategic reserve of over 10 million units in the Korean Peninsula for emergency use.",Explosive,Landmine,United States,United States Cica,29 grams (1 ounce) of Tetryl,1955,1955-present,Anti-personnel mine,Military Explosive,https://upload.wikimedia.org/wikipedia/commons/d/d3/M14_%28Mine%29.jpg,https://en.wikipedia.org/wiki/M14_mine
15,SB-33 Mine,"The SB-33 is an Italian anti-personnel mine that can be deployed by hand or helicopter scatter. Its unique design uses two glass-reinforced polycarbonate halves with a central neoprene pressure pad, making it difficult to detect on the ground. It is filled with RDX/HMX explosive compound.",Explosive,Landmine,Italy,Misar,35 g RDX/HMX (98%/2%),1977,1977-unknown,Anti-personnel mine,Military Explosive,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2FfeSntgswZdo%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=e956ab0d881c0e5bb3fcd64c88de61b89fb4457ad53095c47b24ce9a2ffb931c,https://en.wikipedia.org/wiki/SB-33_mine
16,S-Mine,"The S-Mine, nicknamed ""Bouncing Betty"" or ""Frog-mine,"" was a German anti-personnel mine developed in 1935. Unlike typical mines, the S-Mine featured a spring-loaded fuze that propelled it approximately 1 meter into the air before detonation, causing explosions at chest or head height to maximize casualties. This design made it particularly effective against personnel rather than vehicles.",Explosive,Landmine,Germany,Unknown,TNT,1935,1935-1949,Anti-personnel mine,Military Explosive,https://upload.wikimedia.org/wikipedia/commons/f/fa/S-mine.jpg,https://en.wikipedia.org/wiki/S-mine
17,Claymore mine,"The Claymore is a directional anti-personnel mine developed by Mohawk Electrical Systems. It features a curved plastic body with approximately 700 steel ball bearings (3.2mm diameter) embedded in the front, designed to spray shrapnel in a specific direction toward the enemy. The mine is activated via pressure plate or tripwire detonation, making it highly effective in ambush or defensive positions.",Explosive,Landmine,United States,Mohawk Electrical Systems,".125, or 1⁄8-inch (3.2 mm) diameter steel balls",1952,1960-present,Anti-personnel mine,Military Explosive,https://upload.wikimedia.org/wikipedia/commons/c/c1/US_M18a1_claymore_mine.jpg,https://en.wikipedia.org/wiki/Claymore_mine
18,MON-50,"The MON-50 is a Soviet directional anti-personnel mine based on the American Claymore design. Rather than steel ball bearings, the MON-50 uses a 700-gram RDX (PVV-5A) explosive charge in a plastic body. While the overall directional concept mirrors the Claymore, the different explosive mechanism provides a distinct blast signature.",Explosive,Landmine,Soviet Union,Unknown,700 g of RDX (PVV-5A),1965,1965-unknown,Anti-personnel mine,Military Explosive,https://upload.wikimedia.org/wikipedia/commons/0/0b/Non_armed_mon50_anti-personnel_clustermine.jpg,https://en.wikipedia.org/wiki/MON-50
19,PROM-1,"The PROM-1 is a Yugoslav anti-personnel mine similar to the German S-Mine. It features prongs that, when triggered by contact, activate a spring mechanism that launches the mine approximately 1 meter into the air before detonation at chest or head height. The explosive charge is either Composition B or cast TNT.",Explosive,Landmine,Yugoslavia,Unknown,425 g Composition B or straight cast TNT,Unknown,Unknown,Anti-personnel mine,Military Explosive,https://upload.wikimedia.org/wikipedia/commons/b/bd/PROM-1_bounding_landmine.jpg,https://en.wikipedia.org/wiki/PROM-1
20,Bangalore torpedo,"The Bangalore torpedo was designed by Captain R. L. McClintock in 1912 while stationed in Bangalore, British India. Despite its name, it is not a traditional torpedo — it is a tube-shaped demolition charge primarily used by combat engineers to clear obstacles such as barbed wire and minefields. As the United States Army Field Manual states, the intended purpose is obstacle clearing, and that obstacle isn't necessarily an enemy. The design has proven so effective that it has been in use since World War I and has even been spotted in the Russia-Ukraine War. Sometimes you just don't need new tech to get the job done.",Explosive,Demolition Charge,British Inidia,Captain R. L. McClintock,"TNT, 80–20 TNT and ammonium nitrate (M1A1), C4 (modern production)",1912,1914-present,Combat Engineer Explosive,Military Explosive,https://upload.wikimedia.org/wikipedia/commons/3/38/Bangalore-torpedo-batey-haosef.jpg,https://en.wikipedia.org/wiki/Bangalore_torpedo
21,Spatha,"The Spatha was a straight, blade-heavy sword ranging from 0.5 to 1 meter in blade length, with a handle length of 18 to 20 centimeters. Originally used by Roman cavalry and later adopted by infantry, it became one of the most iconic swords of the ancient world — showing up everywhere from historical reenactments to Hollywood Roman epics. Unlike lighter swords that rely on speed, the Spatha's blade-heavy design means the user relies on the weight of the blade itself to deliver a powerful cut. It later influenced early medieval swords across Europe",Melee,Sword,Roman Empire,Unknown,N/A,1st Centry BC,1st - 12th Centry,Combat Sword,Military and Civilian,https://upload.wikimedia.org/wikipedia/commons/5/59/Spatha_end_of_second_century_1.jpg,https://en.wikipedia.org/wiki/Spatha
22,Rapier,"The Rapier is a slender, thrusting sword that emerged in 16th century Spain and Italy as a civilian weapon favored by nobility and commoners alike. Unlike heavy battlefield swords, the Rapier was designed specifically for speed and precision, using thrusting techniques rather than slashing. It became the go-to weapon for personal self defense and dueling on the streets of Europe, where a quick draw and a precise thrust mattered more than raw power. Its narrow blade wasn't a weakness — it was the whole point. The Rapier also heavily influenced the development of modern sport fencing, which evolved from the martial training and dueling practices built around this sword.",Melee,Sword,Spian and Italy,Unknown,N/A,1540,1540 - 17th centry,Dueling Sword,Civilian Legal,https://upload.wikimedia.org/wikipedia/commons/e/e1/Degen_by_Wendelin_Boeheim.jpg,https://en.wikipedia.org/wiki/Rapier
23,Small Sword,"Yes, that is actually the name of the sword — don't blame us. The Small Sword is believed to have originated in France during the 18th Century before spreading quickly through Europe. At the height of its popularity it was considered fashionable to the point where no gentleman was considered properly dressed without one. With a blade length of roughly 75 to 85 centimeters and a width that could generously be compared to a very long toothpick, it was the go-to sword for any man who wanted to look distinguished — and occasionally stab someone about it. It saw use both as a military sidearm and a dueling weapon, with its last recorded duel taking place on April 21st, 1967 between Gaston Defferre and René Ribière in Neuilly, Paris.",Melee,Sword,France,Unknown,N/A,18th Centry,18th - Middle 20th Centry,Dueling Sword,Military and Civilian,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/V%C3%A4rja_-_Livrustkammaren_-_82405.tif/lossy-page1-960px-V%C3%A4rja_-_Livrustkammaren_-_82405.tif.jpg,https://en.wikipedia.org/wiki/Small_sword
24,Sabre,"The Sabre is a curved, single edged sword with a history stretching back to the nomadic Turkic and Magyar warriors of Central Asia around the 9th Century. Designed for slashing from horseback, it spread through Persia and into Eastern Europe before becoming the dominant cavalry sword across Europe. It saw action in conflicts as early as the Thirty Years War and remained a staple military weapon through World War I. Napoleon's army in particular made the Sabre iconic in Western European warfare.",Melee,Sword,Central Asia or Persia,Unknown,N/A,9th Centry,9th - 20th Centry,Combat Sword,Military Sword,https://upload.wikimedia.org/wikipedia/commons/9/94/Rose_Contract_of_1812_Cavalry_Saber_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Sabre
25,Kukri,"The Kukri is a distinctively curved inward blade that sits in a gray area between knife and short sword — but don't let its size fool you. Originating from the Gorkha Kingdom, which is modern day Nepal, around the 7th Century, it has been the iconic weapon of the Gurkha warriors ever since. To this day it remains the official weapon of Nepal and is standard issue for the Nepali Army, as well as the famous Gurkha soldiers who serve in the British Army. What makes the Kukri unique is that it isn't purely a combat weapon — it's equally at home chopping wood, clearing jungle, or preparing food. It's the kind of blade that does everything and does it well. Sometimes the best weapon is the one you never have to put down.",Melee,Knife,Gorkha Kingdom,Unknown,N/A,7th Centry,7 Centry - Present,Combat and Utility,Military and Civilian,https://upload.wikimedia.org/wikipedia/commons/c/c8/Polished_kukri_noBG.jpg,https://en.wikipedia.org/wiki/Kukri
26,Makhaira,"The Makhaira is perhaps best understood as ancient Greece's version of a modern day machete. Like the machete, it featured a single edged, forward curving blade designed primarily for cutting rather than thrusting. It was a versatile weapon that saw use both as a combat blade and a utility tool, much like its modern counterpart. On the battlefield it saw use among Greek cavalry, where its slashing design made it particularly effective from horseback. The Makhaira is also historically significant as one of the ancestral influences on later curved blades across multiple cultures, including potentially the Sabre which we covered earlier in this very database.",Melee,Sword,Greece,Unknown,N/A,12th Centry BC,12th - 3rd Centry BC,Combat and Utility,Military and Civilian,https://sevenswords.uk/wp-content/uploads/2026/02/makhaira-2048x1024.jpg,https://en.wikipedia.org/wiki/Makhaira
27,Scalpel,"Yes, we are covering the Scalpel — because it is technically a knife and it belongs here. Unlike every other knife in this database, the Scalpel has one very specific purpose: cutting through skin and tissue with speed and precision during medical procedures. Originating from ancient Mesopotamia around 2100 BC, surgical blades have been a cornerstone of medicine ever since. The Scalpel comes in two varieties — single use and reusable. Single use Scalpels are disposed of after one procedure, while reusable Scalpels require a fresh blade between patients to prevent infection. The blade itself is essentially the ammo of the medical world — consumable, replaceable, and absolutely critical to get right. Doctors don't get second chances with these things.",Melee,Knife,Mesopotamia,Various,Blade,2100BC,2100 BC - Present,Medical Utility,Medical Professional Only,https://upload.wikimedia.org/wikipedia/commons/9/92/Various_scalpels.png,https://en.wikipedia.org/wiki/Scalpel
28,Cutlass,"You like pirates? Because the Cutlass is the sword of the open sea. Designed in Europe during the 17th Century, the Cutlass was purpose built for naval combat — short enough to swing in the tight cramped spaces below deck, light enough to use on an unstable moving ship, and sturdy enough that even a drunk pirate could swing it effectively during a boarding action. While it saw official use among naval forces across Europe and beyond, it became equally iconic in the hands of pirates who terrorized the seas. It could absolutely be used on land, but where's the fun in that. The Cutlass remained in active military service longer than most people realize — the US Navy didn't officially retire it until 1949, making it one of the longest serving naval weapons in history",Melee,Sword,Europe,Unknown,N/A,17th Centery,17th - 20th Centry,Combat Sword,Military and Civilian,https://upload.wikimedia.org/wikipedia/commons/5/51/MuseeMarine_sabre_p1000456_noBG.jpg,https://en.wikipedia.org/wiki/Cutlass
29,Machete,"Don't ask how much this blade has seen — because the answer is a lot. The Machete originated in Spain during the late 1500s, derived from the medieval Falchion, and was brought to Latin America through Spanish colonization where it became deeply embedded in the culture and daily life of the region. At its core the Machete is a utility tool first and a weapon second — used every single day across Latin America, Africa, and Southeast Asia for clearing jungle, harvesting crops, and general bushcraft. However it has seen its fair share of violence throughout history, from revolutionary warfare to — how do we put this delicately — cartel activities that we won't go into too much detail about here. cough The Machete remains one of the most widely owned and used blades on the entire planet to this day, proving that sometimes the simplest tool is the most enduring one.",Melee,Sword,Spain,Unknown,N/A,Late 1500's,Late 1500's - Present,Combat and Utility,Military and Civilian,https://upload.wikimedia.org/wikipedia/commons/2/28/Gerber_Machete_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Machete
30,Katana,"Yes, you probably know the Katana from every weeaboo kid at every anime convention who won't shut up about it — but put that aside for a second because the actual sword is genuinely beautiful. Coming from the highly respected Nihontō family of traditional Japanese swords, the Katana emerged around 1300 during the Kamakura period and became the defining weapon of the Samurai class during the Muromachi period. Japanese swordsmithing is considered a sacred art form, with master swordsmiths spending weeks or even months crafting a single blade through a meticulous process of folding and tempering steel that results in a blade that is both razor sharp and surprisingly resilient. Designed primarily for close combat, the Katana's slightly curved single edged blade allows for fast fluid drawing and cutting in a single motion — a technique known as Iaijutsu. While it remains a celebrated symbol of Japanese culture and craftsmanship to this day, modern Japan actually heavily restricts Katana ownership, which makes all those anime convention kids even funnier when you think about it.",Melee,Sword,Japan,Various Japanese Swordsmiths,N/A,1300,1336 - Present,Combat,Military Sword,https://upload.wikimedia.org/wikipedia/commons/9/9b/Katana_-_Motoshige.JPG,https://en.wikipedia.org/wiki/Katana